Unnamed: 0,age,gender,year_in_school,major,monthly_income_idr,financial_aid_idr,tuition_idr,housing_idr,food_idr,transportation_idr,books_supplies_idr,entertainment_idr,personal_care_idr,technology_idr,health_wellness_idr,miscellaneous_idr,preferred_payment_method
16,23,Female,Freshman,Psychology,21285000,3555000,81750000,13245000,5415000,3000000,2115000,1140000,330000,4275000,2775000,1140000,Cash
17,21,Female,Freshman,Computer Science,21810000,12765000,53070000,11310000,5355000,1650000,2820000,495000,360000,750000,1110000,690000,Mobile Payment App
18,19,Female,Sophomore,Psychology,22305000,4665000,66015000,13245000,4380000,1035000,765000,1125000,900000,1575000,2715000,2460000,Credit/Debit Card
19,20,Female,Senior,Engineering,17355000,6015000,46965000,13290000,2940000,1965000,3240000,855000,585000,3960000,585000,2610000,Mobile Payment App
20,19,Male,Junior,Psychology,17700000,10980000,63090000,8955000,3810000,2925000,1005000,765000,315000,1455000,2775000,690000,Credit/Debit Card
21,24,Male,Sophomore,Computer Science,7740000,8235000,73170000,12210000,4290000,2700000,4230000,825000,375000,1155000,1095000,2760000,Mobile Payment App
22,18,Non-binary,Sophomore,Biology,18375000,9150000,74970000,7095000,2385000,2010000,4410000,555000,1290000,2385000,900000,645000,Cash
23,24,Non-binary,Senior,Economics,8730000,4275000,63150000,6315000,5220000,2070000,2145000,930000,1275000,3270000,1695000,900000,Credit/Debit Card
24,19,Female,Senior,Economics,15930000,840000,67500000,10965000,3570000,1545000,1140000,1665000,1425000,3570000,1110000,1245000,Mobile Payment App
25,25,Female,Junior,Biology,15810000,7920000,82290000,11835000,6000000,1215000,3165000,1425000,1110000,3555000,2100000,2040000,Mobile Payment App
26,20,Male,Senior,Economics,10005000,10350000,53115000,11430000,2595000,2775000,4320000,795000,570000,1260000,2385000,2055000,Credit/Debit Card
27,20,Female,Junior,Psychology,11940000,10575000,84240000,9960000,4365000,2685000,3900000,1905000,315000,1695000,2910000,1200000,Credit/Debit Card
28,24,Non-binary,Sophomore,Psychology,13575000,10065000,62340000,6660000,2445000,1965000,2115000,1980000,465000,2340000,1425000,1920000,Credit/Debit Card
29,23,Non-binary,Junior,Engineering,7965000,6720000,46485000,11130000,5910000,2685000,1425000,960000,930000,1095000,1560000,2595000,Mobile Payment App
30,23,Non-binary,Freshman,Economics,21390000,45000,89145000,10155000,4440000,1650000,2055000,2190000,315000,2325000,1575000,390000,Mobile Payment App
31,23,Male,Sophomore,Psychology,21975000,4530000,81255000,7020000,1695000,2850000,2010000,1785000,1230000,4140000,2475000,2865000,Mobile Payment App
32,24,Non-binary,Junior,Computer Science,7830000,8325000,78540000,12900000,2535000,1995000,2205000,1845000,720000,2070000,1335000,2250000,Credit/Debit Card
33,25,Female,Freshman,Economics,20070000,1650000,84225000,7020000,4875000,2370000,3660000,1470000,690000,3465000,2745000,1200000,Cash
34,23,Male,Junior,Biology,20445000,5475000,48330000,10425000,2775000,2490000,1485000,1740000,1020000,1155000,465000,2415000,Mobile Payment App
35,21,Male,Freshman,Biology,19920000,4800000,46350000,10770000,3810000,1395000,3060000,1110000,450000,3420000,900000,2685000,Cash
36,22,Male,Sophomore,Engineering,20250000,10125000,58965000,6930000,5580000,2205000,4230000,2235000,1380000,4035000,1575000,2850000,Cash
37,23,Non-binary,Senior,Computer Science,19635000,3975000,77400000,9000000,2670000,2220000,2790000,1320000,1170000,3630000,810000,2580000,Cash
38,21,Female,Senior,Biology,14475000,3765000,80160000,10425000,3735000,1320000,3735000,735000,435000,4470000,1440000,465000,Cash
39,20,Female,Senior,Engineering,9000000,5880000,85995000,11865000,4635000,2670000,1005000,330000,435000,2130000,1110000,1575000,Mobile Payment App
40,24,Female,Freshman,Engineering,9075000,1770000,85440000,9795000,2475000,2835000,2265000,1290000,1230000,1755000,1245000,2340000,Mobile Payment App
41,25,Male,Sophomore,Economics,12060000,2100000,79980000,7755000,4335000,2205000,2295000,1875000,645000,2385000,660000,1905000,Cash
42,23,Female,Sophomore,Economics,19110000,6735000,69585000,11325000,2055000,825000,3735000,1545000,750000,2640000,1005000,2625000,Cash
43,23,Male,Junior,Psychology,7635000,14130000,59370000,7665000,5865000,2880000,3960000,855000,1275000,1620000,1725000,2115000,Credit/Debit Card
44,23,Female,Senior,Economics,19275000,13215000,57345000,11100000,3795000,2730000,3450000,480000,1380000,1770000,510000,585000,Credit/Debit Card
45,18,Male,Freshman,Computer Science,13935000,5220000,57810000,8850000,3060000,2940000,2745000,1935000,1200000,2445000,1740000,825000,Credit/Debit Card
46,25,Non-binary,Freshman,Psychology,17445000,3525000,74265000,8235000,3915000,1290000,2775000,1530000,315000,3780000,465000,1320000,Cash
47,19,Male,Senior,Psychology,17925000,11175000,79035000,13800000,2505000,855000,1320000,1695000,900000,3630000,525000,1590000,Mobile Payment App
48,25,Male,Junior,Psychology,15540000,3900000,62115000,13770000,1830000,1290000,1575000,930000,1320000,1350000,2535000,2055000,Cash
49,24,Female,Junior,Economics,8820000,3165000,73125000,9060000,2445000,1515000,2970000,1335000,345000,1920000,930000,630000,Mobile Payment App
50,20,Female,Junior,Engineering,20655000,10845000,81210000,11790000,5325000,2055000,2805000,675000,1350000,2175000,3000000,405000,Cash
51,21,Non-binary,Freshman,Economics,21765000,7185000,82215000,9915000,2100000,1005000,1920000,465000,720000,4395000,555000,1920000,Credit/Debit Card
52,19,Male,Senior,Computer Science,10035000,9900000,57345000,12555000,2895000,1725000,1125000,1815000,975000,2250000,1440000,870000,Cash
53,18,Male,Freshman,Psychology,19410000,12270000,61185000,12090000,1725000,1455000,1065000,360000,465000,1185000,1605000,945000,Mobile Payment App
54,24,Non-binary,Senior,Engineering,14115000,1350000,55320000,14445000,5580000,2955000,2190000,480000,1290000,1635000,675000,2970000,Mobile Payment App
55,22,Female,Sophomore,Engineering,16965000,4680000,63660000,13890000,5085000,2130000,3555000,2175000,1395000,1815000,1365000,2370000,Cash
56,24,Non-binary,Freshman,Computer Science,12810000,10500000,72360000,7875000,3345000,2175000,1995000,705000,1365000,4410000,2865000,2550000,Cash
57,20,Male,Sophomore,Economics,17370000,9795000,45255000,14400000,3240000,2895000,4485000,600000,915000,3945000,825000,2115000,Mobile Payment App
58,25,Non-binary,Sophomore,Biology,10020000,750000,54750000,6990000,5655000,2415000,3315000,900000,1200000,2700000,2130000,1290000,Mobile Payment App
59,20,Female,Junior,Biology,10425000,14550000,70410000,9390000,4560000,1560000,3000000,705000,1065000,3345000,1395000,2865000,Mobile Payment App
60,20,Male,Junior,Engineering,20625000,10830000,80835000,6240000,1980000,2895000,2235000,1005000,405000,3915000,690000,645000,Mobile Payment App
61,23,Female,Junior,Engineering,16260000,4725000,78075000,10815000,3450000,1140000,2115000,1290000,510000,2805000,2385000,2160000,Mobile Payment App
62,18,Female,Senior,Biology,10995000,12570000,78720000,14655000,4470000,2460000,3615000,1275000,1170000,4215000,1815000,2520000,Cash
63,20,Non-binary,Freshman,Economics,15915000,14835000,77910000,6960000,5550000,870000,1155000,2025000,510000,1860000,600000,2565000,Mobile Payment App
64,19,Female,Junior,Computer Science,20280000,195000,51045000,7155000,2160000,1230000,2850000,1635000,1260000,1215000,840000,1200000,Mobile Payment App
65,19,Male,Freshman,Biology,16380000,8250000,87615000,13740000,2250000,2145000,3855000,1350000,435000,3930000,2880000,2655000,Mobile Payment App
66,24,Male,Freshman,Economics,14445000,5505000,57450000,13245000,3900000,1185000,2085000,2025000,960000,810000,1215000,1110000,Mobile Payment App
67,21,Female,Junior,Engineering,18060000,1815000,63915000,7320000,4245000,1665000,4305000,1725000,840000,3450000,1275000,360000,Credit/Debit Card
68,23,Male,Senior,Engineering,17760000,1560000,80700000,14100000,1725000,2775000,2565000,870000,675000,1665000,450000,2535000,Mobile Payment App
69,22,Male,Junior,Economics,8430000,10920000,68400000,14790000,4590000,1575000,1635000,1350000,1485000,2805000,2925000,510000,Mobile Payment App
70,19,Male,Freshman,Economics,18270000,13170000,69645000,6765000,3510000,2535000,3600000,1575000,315000,3570000,1515000,570000,Mobile Payment App
71,21,Non-binary,Sophomore,Computer Science,18525000,12075000,81630000,11175000,5850000,2250000,3420000,1440000,1200000,1560000,525000,1965000,Cash
72,23,Non-binary,Sophomore,Economics,21360000,5505000,48300000,10260000,4920000,1770000,1365000,2145000,1320000,1470000,2385000,810000,Cash
73,22,Female,Freshman,Biology,17640000,12060000,64080000,12915000,4575000,1455000,1590000,1545000,645000,2775000,1560000,1005000,Mobile Payment App
74,25,Female,Sophomore,Engineering,20010000,1215000,59790000,13095000,2700000,2790000,3540000,345000,915000,1320000,1305000,495000,Credit/Debit Card
75,19,Female,Senior,Computer Science,21630000,5310000,80565000,10995000,2295000,2490000,1575000,435000,1200000,1290000,2055000,1635000,Cash
76,22,Male,Sophomore,Computer Science,14745000,12930000,84750000,9720000,2385000,1920000,3885000,1860000,1455000,1440000,2250000,2010000,Cash
77,24,Female,Sophomore,Computer Science,13710000,360000,73215000,8460000,2235000,825000,915000,1935000,1185000,2700000,1410000,495000,Credit/Debit Card
78,22,Non-binary,Senior,Economics,13470000,2325000,81420000,13020000,2625000,1935000,2220000,1710000,1110000,2940000,1560000,1155000,Cash
79,23,Non-binary,Junior,Economics,17460000,5355000,78180000,9465000,4965000,1875000,2985000,1725000,720000,1950000,1605000,2940000,Cash
80,18,Female,Freshman,Biology,22260000,8910000,69540000,7770000,4485000,1110000,825000,1560000,1305000,1830000,2565000,2895000,Mobile Payment App
81,19,Female,Junior,Biology,16905000,12750000,76560000,9345000,5775000,1410000,2895000,435000,855000,3885000,1695000,465000,Mobile Payment App
82,24,Non-binary,Senior,Biology,16575000,10065000,82515000,12615000,3525000,2460000,1635000,2160000,1500000,3780000,2970000,540000,Cash
83,19,Male,Freshman,Computer Science,20265000,2340000,67935000,10170000,2790000,2670000,1125000,510000,1425000,1455000,2100000,1125000,Mobile Payment App
84,22,Female,Freshman,Biology,13950000,11520000,45750000,7350000,5235000,810000,2610000,1200000,765000,4170000,2145000,615000,Mobile Payment App
85,25,Non-binary,Senior,Computer Science,20190000,13980000,85245000,10770000,5640000,2280000,2340000,1410000,1215000,3300000,2175000,1245000,Credit/Debit Card
86,25,Non-binary,Sophomore,Computer Science,18600000,660000,58515000,9270000,4725000,2655000,2700000,615000,945000,3705000,1680000,2070000,Credit/Debit Card
87,25,Female,Junior,Computer Science,10905000,2145000,60765000,12600000,4035000,1785000,1815000,1980000,600000,2595000,2970000,1875000,Credit/Debit Card
88,20,Female,Junior,Economics,9330000,14385000,70605000,6465000,3510000,2760000,3960000,810000,1260000,4425000,2430000,2655000,Mobile Payment App
89,23,Male,Sophomore,Economics,12000000,13995000,79560000,6315000,2160000,1455000,765000,1545000,990000,3705000,2745000,1380000,Credit/Debit Card
90,18,Non-binary,Junior,Psychology,17985000,7740000,89385000,11670000,3900000,1230000,3570000,1110000,1230000,2235000,1890000,930000,Credit/Debit Card
91,19,Male,Senior,Economics,15090000,5880000,52890000,6165000,5355000,1635000,4020000,1605000,1410000,975000,2070000,2175000,Cash
92,23,Non-binary,Sophomore,Economics,19425000,13545000,66345000,11865000,5955000,2160000,960000,885000,1185000,2805000,2835000,1695000,Mobile Payment App
93,18,Male,Sophomore,Economics,18330000,9375000,63540000,12930000,1905000,2700000,945000,1365000,1350000,2865000,1305000,1830000,Mobile Payment App
94,18,Female,Senior,Computer Science,20760000,12000000,72330000,12135000,3555000,2610000,1275000,315000,1080000,1950000,2775000,1560000,Credit/Debit Card
95,18,Female,Junior,Engineering,15525000,7695000,50505000,11400000,2730000,855000,1425000,1785000,315000,2490000,2235000,1785000,Credit/Debit Card
96,20,Male,Freshman,Economics,20925000,10845000,76890000,8265000,3870000,1950000,1215000,1530000,1260000,3510000,2580000,1170000,Credit/Debit Card
97,18,Non-binary,Sophomore,Biology,11505000,6855000,76440000,11700000,4965000,3000000,1725000,1335000,405000,3975000,2625000,2370000,Credit/Debit Card
98,24,Female,Senior,Biology,13995000,6780000,70590000,11805000,2490000,2040000,1590000,1680000,945000,4050000,1290000,435000,Cash
99,23,Male,Junior,Psychology,12045000,11940000,52065000,13965000,4395000,810000,2190000,2130000,870000,1260000,1560000,615000,Mobile Payment App
100,22,Male,Sophomore,Psychology,19995000,3465000,49500000,14565000,4425000,765000,3285000,1365000,1410000,3885000,2415000,750000,Cash
101,23,Female,Senior,Psychology,16725000,6555000,79755000,12270000,5115000,2040000,1740000,1725000,330000,840000,570000,1590000,Mobile Payment App
102,20,Female,Sophomore,Psychology,13800000,2235000,50490000,9540000,4425000,2145000,1155000,1800000,1440000,2055000,2430000,2670000,Cash
103,25,Male,Junior,Psychology,11700000,1425000,88965000,11385000,3240000,1485000,3765000,300000,570000,2880000,1575000,1455000,Cash
104,21,Female,Junior,Psychology,13230000,13680000,83550000,8325000,4575000,1545000,1215000,1680000,420000,1680000,2430000,2955000,Mobile Payment App
105,21,Female,Senior,Computer Science,14385000,3870000,48000000,6960000,5400000,2295000,3300000,390000,1320000,2160000,2415000,2010000,Cash
106,25,Female,Senior,Psychology,11220000,7410000,71835000,6705000,5295000,2460000,3015000,900000,645000,1485000,1395000,2580000,Mobile Payment App
107,21,Male,Junior,Biology,12150000,1095000,73260000,11130000,1680000,2595000,4140000,2040000,945000,4410000,2415000,2040000,Mobile Payment App
108,20,Male,Sophomore,Computer Science,14475000,4830000,74880000,6495000,2625000,840000,1065000,1335000,1110000,990000,885000,1950000,Mobile Payment App
109,24,Male,Senior,Psychology,11760000,7695000,73590000,12945000,1740000,1650000,2100000,1740000,840000,3960000,2685000,2400000,Credit/Debit Card
110,22,Male,Sophomore,Economics,14550000,8295000,88410000,10200000,5160000,2340000,1710000,1800000,1185000,795000,600000,2340000,Mobile Payment App
111,23,Non-binary,Senior,Economics,20235000,13095000,87990000,9915000,3075000,1935000,1320000,1080000,420000,2880000,1080000,1515000,Credit/Debit Card
112,19,Female,Senior,Psychology,11400000,915000,81435000,12465000,4020000,1260000,945000,390000,1380000,4170000,2775000,900000,Credit/Debit Card
113,21,Female,Freshman,Computer Science,10530000,4095000,74655000,13590000,5775000,1590000,4155000,2220000,615000,3075000,2235000,1740000,Cash
114,21,Male,Junior,Engineering,10800000,10125000,79635000,9915000,4260000,1425000,2295000,1395000,315000,1620000,1215000,960000,Mobile Payment App
115,22,Male,Freshman,Biology,19290000,11835000,54270000,13530000,5145000,2910000,2730000,1110000,930000,2565000,1890000,1680000,Mobile Payment App
116,22,Female,Sophomore,Engineering,17025000,3915000,71295000,9435000,5025000,2520000,1455000,1695000,900000,3345000,660000,930000,Cash
117,18,Non-binary,Senior,Engineering,15450000,3600000,46620000,12885000,5790000,2205000,3120000,405000,900000,3975000,540000,345000,Credit/Debit Card
118,21,Female,Senior,Engineering,18975000,10830000,68685000,11400000,1830000,1830000,945000,510000,720000,3750000,2295000,2760000,Credit/Debit Card
119,24,Female,Freshman,Psychology,17625000,12045000,84510000,6660000,4350000,2550000,945000,375000,555000,4125000,1665000,1515000,Mobile Payment App
120,23,Female,Freshman,Psychology,16245000,150000,79125000,9600000,3540000,2295000,3855000,930000,1305000,2820000,825000,885000,Mobile Payment App
121,24,Non-binary,Freshman,Biology,22305000,14100000,47505000,11475000,3030000,2190000,2745000,2175000,345000,3495000,1800000,660000,Mobile Payment App
122,25,Non-binary,Junior,Computer Science,19905000,2940000,76005000,9195000,4170000,2685000,2805000,2235000,570000,3405000,2430000,1560000,Cash
123,22,Non-binary,Senior,Economics,16425000,2475000,67980000,12015000,3795000,2505000,3645000,1095000,495000,1650000,990000,1470000,Credit/Debit Card
124,23,Male,Senior,Biology,21900000,6540000,48450000,11805000,5655000,2640000,2370000,1755000,1170000,4485000,1260000,645000,Mobile Payment App
125,20,Female,Freshman,Engineering,20310000,6405000,55365000,7725000,3360000,1800000,1875000,1065000,690000,2100000,2760000,2655000,Credit/Debit Card
126,20,Male,Sophomore,Biology,12540000,9300000,64665000,8760000,4515000,2400000,2895000,1365000,690000,2145000,1800000,795000,Cash
127,22,Male,Junior,Engineering,18180000,7935000,60180000,13455000,6000000,795000,1800000,1755000,1320000,4260000,1785000,1575000,Credit/Debit Card
128,20,Non-binary,Senior,Engineering,22245000,4155000,51195000,8310000,2730000,2070000,4125000,1080000,525000,2400000,1110000,2850000,Credit/Debit Card
129,22,Non-binary,Sophomore,Computer Science,14970000,14025000,81300000,7740000,4455000,1440000,1545000,1935000,1170000,3765000,1635000,945000,Credit/Debit Card
130,22,Non-binary,Senior,Biology,13275000,4875000,65835000,13605000,4755000,2160000,1890000,2235000,1335000,3645000,2340000,1215000,Credit/Debit Card
131,25,Male,Senior,Engineering,10890000,4995000,57810000,11070000,2655000,2925000,1650000,1380000,1155000,1755000,450000,750000,Credit/Debit Card
132,25,Female,Junior,Psychology,15555000,14850000,73275000,7215000,5505000,1950000,4080000,840000,855000,2250000,1380000,330000,Mobile Payment App
133,22,Female,Freshman,Engineering,21840000,14895000,50655000,10995000,3015000,1410000,4260000,1845000,510000,885000,1155000,1455000,Mobile Payment App
134,24,Male,Junior,Economics,10140000,2745000,61935000,9000000,2025000,1125000,3405000,375000,330000,3000000,2460000,1995000,Mobile Payment App
135,24,Female,Senior,Psychology,8565000,3225000,83685000,6360000,1995000,2235000,2085000,435000,870000,4125000,2595000,1635000,Mobile Payment App
136,23,Male,Junior,Computer Science,18195000,11415000,89160000,11520000,3690000,2940000,2475000,780000,1020000,2970000,2700000,600000,Mobile Payment App
137,24,Female,Sophomore,Psychology,16680000,8205000,79575000,7470000,5355000,2550000,2745000,1380000,1260000,2070000,1380000,2955000,Cash
138,18,Female,Sophomore,Economics,16500000,8025000,72510000,8895000,3015000,2955000,1170000,1380000,660000,2670000,2970000,675000,Credit/Debit Card
139,21,Male,Sophomore,Psychology,7890000,5625000,64185000,11205000,2385000,2745000,2955000,1005000,315000,1320000,870000,1620000,Cash
140,22,Male,Junior,Computer Science,14265000,3030000,47580000,12270000,2370000,1020000,1425000,1140000,945000,1830000,705000,1440000,Mobile Payment App
141,23,Male,Sophomore,Computer Science,19515000,2445000,85440000,13485000,1755000,765000,4170000,330000,330000,2295000,1050000,2250000,Cash
142,25,Male,Junior,Psychology,16545000,75000,89400000,10140000,5625000,2235000,1995000,1140000,495000,3180000,2475000,2535000,Mobile Payment App
143,24,Male,Senior,Computer Science,16245000,6990000,85380000,9660000,1665000,1200000,3525000,1140000,630000,1620000,975000,1095000,Cash
144,23,Female,Senior,Engineering,12900000,705000,45855000,9210000,3525000,1725000,1755000,1065000,1080000,3390000,1410000,1890000,Cash
145,18,Male,Senior,Biology,20310000,13230000,50115000,14535000,5220000,1125000,1890000,735000,1395000,3015000,1740000,2670000,Cash
146,23,Male,Senior,Biology,13155000,12705000,71520000,6975000,3315000,1440000,780000,585000,1095000,1410000,2115000,960000,Credit/Debit Card
147,21,Male,Freshman,Engineering,9735000,8655000,45690000,13965000,3360000,2415000,3000000,360000,1200000,3195000,2025000,2700000,Credit/Debit Card
148,24,Male,Sophomore,Computer Science,13455000,3300000,69825000,11985000,5370000,1875000,4350000,1200000,345000,2340000,2655000,690000,Credit/Debit Card
149,21,Non-binary,Freshman,Psychology,17205000,13080000,55635000,8715000,1530000,2820000,3375000,1470000,1080000,4095000,1890000,2490000,Mobile Payment App
150,23,Non-binary,Senior,Biology,20505000,9090000,83655000,13740000,3900000,1170000,3195000,2175000,1065000,3345000,1845000,2985000,Credit/Debit Card
151,21,Male,Freshman,Computer Science,9705000,5730000,74145000,12105000,2235000,915000,3210000,2040000,390000,2865000,1530000,1605000,Cash
152,21,Female,Senior,Engineering,9840000,10875000,50400000,13965000,4935000,2820000,1425000,1800000,1380000,1530000,885000,2970000,Credit/Debit Card
153,19,Non-binary,Junior,Economics,16965000,4725000,47910000,7020000,4920000,2655000,1770000,390000,1035000,990000,2415000,1800000,Mobile Payment App
154,19,Female,Freshman,Psychology,19785000,12045000,62400000,10155000,2385000,1095000,3435000,2100000,570000,1620000,2625000,465000,Cash
155,22,Female,Freshman,Economics,13755000,12840000,75150000,6510000,1920000,2760000,4155000,1470000,435000,1725000,915000,990000,Credit/Debit Card
156,19,Female,Sophomore,Biology,13080000,3090000,79635000,14160000,3480000,2490000,2295000,870000,960000,1005000,2505000,1290000,Credit/Debit Card
157,20,Male,Sophomore,Economics,13515000,1725000,50820000,11055000,4425000,1260000,4455000,990000,1200000,2190000,1500000,1395000,Mobile Payment App
158,18,Male,Junior,Engineering,8040000,8025000,83205000,10140000,3825000,1230000,1665000,1920000,525000,3780000,2400000,1185000,Credit/Debit Card
159,25,Female,Senior,Psychology,7590000,13965000,61305000,14970000,3765000,2625000,1200000,1230000,1230000,1140000,2280000,840000,Mobile Payment App
160,23,Female,Junior,Economics,18015000,9525000,56220000,6885000,4365000,840000,2985000,1500000,1215000,4350000,2025000,1965000,Credit/Debit Card
161,25,Non-binary,Senior,Computer Science,17835000,720000,83520000,12225000,2385000,1185000,990000,1695000,1020000,1365000,1410000,555000,Cash
162,23,Female,Junior,Economics,8190000,5805000,58350000,11205000,4230000,2100000,795000,525000,570000,1005000,1125000,2715000,Credit/Debit Card
163,19,Non-binary,Senior,Biology,17715000,14835000,47430000,8385000,2940000,2055000,1335000,690000,900000,3735000,2010000,3000000,Cash
164,18,Female,Sophomore,Economics,12150000,4380000,59295000,11565000,5100000,765000,1470000,1800000,1320000,1995000,870000,1695000,Cash
165,19,Non-binary,Freshman,Engineering,12825000,5955000,60420000,9495000,6000000,2190000,2610000,2220000,630000,1155000,2295000,1830000,Cash
166,23,Male,Sophomore,Biology,20310000,255000,88665000,9465000,5775000,2400000,1680000,510000,480000,3375000,2595000,900000,Cash
167,20,Male,Freshman,Psychology,15840000,12915000,81495000,6075000,2745000,2910000,2805000,915000,990000,2160000,1605000,330000,Cash
168,19,Male,Freshman,Economics,9300000,3225000,74715000,10560000,3645000,2955000,4275000,2025000,1245000,2880000,540000,2955000,Credit/Debit Card
169,24,Female,Freshman,Economics,18105000,5085000,65415000,9570000,3015000,2145000,3615000,1680000,435000,1290000,2085000,1650000,Cash
170,21,Non-binary,Sophomore,Psychology,9315000,6840000,88395000,14400000,2985000,1860000,4170000,1725000,720000,2895000,2670000,1020000,Cash
171,25,Female,Senior,Engineering,15495000,960000,63735000,7755000,1560000,960000,3885000,1965000,990000,3510000,945000,1560000,Mobile Payment App
172,19,Non-binary,Freshman,Psychology,10830000,30000,55515000,6750000,1530000,1230000,4005000,570000,975000,1935000,2790000,1875000,Mobile Payment App
173,20,Male,Freshman,Psychology,19560000,1140000,53460000,12705000,2700000,1380000,4500000,1350000,960000,1695000,510000,1695000,Mobile Payment App
174,21,Non-binary,Junior,Biology,13680000,14550000,51360000,14865000,5220000,2715000,1290000,2010000,1050000,2625000,600000,2760000,Credit/Debit Card
175,23,Male,Sophomore,Biology,14445000,13065000,74265000,11670000,3795000,1575000,2025000,1860000,690000,2775000,2460000,2400000,Cash
176,18,Female,Junior,Engineering,19290000,9270000,45225000,13875000,1545000,1935000,840000,750000,1395000,3225000,645000,1575000,Mobile Payment App
177,18,Male,Freshman,Economics,16560000,2700000,69795000,10245000,5430000,2775000,1350000,1185000,1365000,1365000,1485000,960000,Credit/Debit Card
178,23,Non-binary,Senior,Economics,10455000,13905000,56340000,11010000,5910000,2880000,1635000,1200000,1095000,3705000,1035000,2925000,Cash
179,21,Male,Freshman,Engineering,18450000,14520000,63810000,8100000,4275000,1485000,2535000,1515000,855000,1155000,1305000,645000,Cash
180,25,Female,Junior,Engineering,20175000,9735000,58335000,13785000,4665000,1995000,1020000,2235000,990000,1035000,2385000,2430000,Mobile Payment App
181,20,Female,Junior,Biology,21165000,7755000,46110000,13110000,2265000,1155000,3285000,315000,660000,4200000,855000,2640000,Mobile Payment App
182,24,Female,Freshman,Economics,20325000,4230000,89970000,9255000,4665000,1185000,3960000,525000,1095000,3810000,1965000,2460000,Credit/Debit Card
183,24,Non-binary,Junior,Economics,9120000,13770000,60840000,8520000,5040000,2790000,2385000,1230000,1335000,3765000,2490000,2130000,Mobile Payment App
184,22,Female,Senior,Biology,8490000,7200000,53130000,12510000,5400000,960000,4335000,720000,1290000,3390000,1980000,1800000,Credit/Debit Card
185,25,Female,Junior,Economics,19650000,14730000,68220000,12555000,3285000,900000,1080000,1230000,765000,3900000,450000,2565000,Mobile Payment App
186,24,Female,Sophomore,Biology,20310000,780000,47535000,12735000,5025000,900000,2985000,1155000,675000,1515000,2925000,1875000,Credit/Debit Card
187,23,Male,Sophomore,Economics,15300000,255000,69675000,14145000,4575000,2340000,3600000,1845000,795000,4350000,1155000,945000,Cash
188,24,Non-binary,Senior,Engineering,20910000,13065000,66750000,6240000,4020000,1995000,2190000,330000,1020000,2580000,1890000,2775000,Cash
189,22,Non-binary,Sophomore,Psychology,14310000,5055000,86340000,10755000,2385000,2925000,2940000,2070000,390000,2310000,2400000,1275000,Credit/Debit Card
190,21,Male,Senior,Biology,21720000,11910000,59385000,9360000,2565000,2580000,1545000,885000,1335000,3090000,2730000,2370000,Mobile Payment App
191,21,Non-binary,Sophomore,Biology,14520000,120000,61170000,10050000,1620000,840000,1935000,390000,990000,4080000,960000,2265000,Credit/Debit Card
